name,platform,year_of_release,genre,rating
Big Brain Academy: Wii Degree,Wii,2007,Misc,E
Resident Evil Directors Cut,PS,1996,Action,
Mario & Luigi: Bowsers Inside Story,DS,2009,Role-Playing,
LEGO Indiana Jones: The Original Adventures,X360,2008,Action,E10+
The Sims: Unleashed,PC,2002,Simulation,T
Ratchet & Clank: Size Matters,PSP,2007,Platform,
Harry Potter and the Sorcerers Stone,PS,2001,Action,E
Assassins Creed IV: Black Flag,PS3,2013,Action,M
Mario & Sonic at the London 2012 Olympic Games,Wii,2011,Sports,
Resident Evil 3: Nemesis,PS,1999,Action,
Super Paper Mario,Wii,2007,Platform,E
Spyro: Year of the Dragon,PS,2000,Platform,E
FIFA Soccer 2005,PS2,2004,Sports,E
Pok\xc3\xa9mon Trading Card Game,G,1998,Strategy,
Friend Collection,DS,2009,Misc,
Tony Hawks Pro Skater 4,PS2,2002,Sports,T
MySims,DS,2007,Simulation,E
Midnight Club 3: DUB Edition,PSP,2005,Racing,E10+
Banjo-Kazooie,N64,1998,Platform,
SOCOM: U.S. Navy SEALs,PS2,2002,Shooter,M
Jak and Daxter: The Precursor Legacy,PS2,2001,Platform,E
Pokemon Snap,N64,1999,Simulation,
Pro Evolution Soccer 2008,PS2,2007,Sports,E
Resident Evil 4,PS2,2005,Action,M
FIFA Soccer 10,PS3,2009,Sports,E
Guitar Hero: World Tour,Wii,2008,Misc,T
Battlefield 4,PS4,2013,Shooter,M
Star Wars: Battlefront,PS2,2004,Shooter,T
Doom II: Hell on Earth,PC,1994,Shooter,
The Simpsons: Road Rage,PS2,2001,Racing,T
Luigis Mansion,GC,2001,Action,E
Just Dance 2014,Wii,2013,Misc,E10+
Star Wars: Battlefront II,PS2,2005,Shooter,T
Cooking Mama 2: Dinner With Friends,DS,2007,Simulation,E
WWF SmackDown!,PS,2000,Fighting,
Croc: Legend of the Gobbos,PS,1997,Platform,
Call of Duty: Infinite Warfare,XOne,2016,Shooter,M
Assassins Creed: Unity,XOne,2014,Action,M
Grand Theft Auto: Liberty City Stories,PS2,2006,Action,M
The Getaway,PS2,2002,Action,M
Tomb Raider III: Adventures of Lara Croft,PS,1997,Action,
James Bond 007: Agent Under Fire,PS2,2001,Shooter,T
LEGO Star Wars: The Video Game,PS2,2005,Action,
Rugrats in Paris: The Movie,PS,2000,Action,
FIFA Soccer 11,X360,2010,Sports,E
Spyro 2: Riptos Rage!,PS,1999,Platform,
Left 4 Dead,X360,2008,Shooter,M
Donkey Kong Country 3: Dixie Kongs Double Trouble!,SNES,1996,Platform,
Resident Evil 5,X360,2009,Action,M
Kung Fu,NES,1985,Action,
Assassins Creed: Brotherhood,X360,2010,Action,M
Battlefield 4,PS3,2013,Shooter,M
FIFA Soccer 2004,PS2,2003,Sports,E
Battlefield 4,X360,2013,Shooter,M
Batman: Arkham Asylum,X360,2009,Action,T
Battlefield: Bad Company 2,X360,2010,Shooter,M
Gears of War: Ultimate Edition,XOne,2015,Shooter,M
Mario & Sonic at the Olympic Winter Games,DS,2009,Sports,
Guitar Hero: On Tour,DS,2008,Misc,E10+
Clubhouse Games,DS,2006,Misc,E
Borderlands,X360,2009,Shooter,M
Monster Hunter 4,3DS,2013,Role-Playing,
Assassins Creed Syndicate,PS4,2015,Action,M
Tekken 4,PS2,2002,Fighting,T
Battlefield 1,XOne,2016,Shooter,M
Metal Gear Solid V: The Phantom Pain,PS4,2015,Action,M
Final Fantasy III,SNES,1994,Role-Playing,
